"Alkoholfreies Bier, Verzehr in Kantinen, Mensen von Hochschulen";"1112 100"
"Alkoholfreies Bier, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 144"
"Alkoholfreies Bier";"0213 003"
"Alkoholtester";"0612 102"
"Alkopops, Erfrischungsmixgetränke mit einem Alkoholgehalt < 6 % (ohne Spirituosenmischgetränke)";"0219 020"
"Alleskleber";"0561 909"
"Allesschneider, elektrisch, Küchenmaschinen";"0532 102"
"Allesschneider, nichtelektrisch, Küchenmaschinen";"0532 102"
"Alligatorenfleisch";"0112 250"
"Allzweckklebstoffe";"0561 909"
"Allzweckreiniger";"0561 115"
"Allzwecktücher, Reinigungstücher";"0561 122"
"Almosen, Ausgaben";"1643 200"
"Aloe Vera Saft";"0129 009"
"Altbier, Verzehr in Kantinen, Mensen nicht von Hochschulen, Schulen und Kindergärten";"1112 900"
"Altbier, Verzehr in Kantinen, Mensen  von Hochschulen";"1112 100"
"Altbier, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 144"
"Altbier";"0213 001"
"Altenheime, Aufwendungen für medizinische  Betreuung und Pflege, Zuzahlungen und Eigenanteile der gesetzlich Versicherten zu langfristigen stationären Gesundheitsdienstleistungen";"0632 001"
"Altenheime, nicht aufteilbare Leistungen für langfristige  Aufenthalte";"1330 200"
"Altenhilfe, Sozialhilfe, laufende Einnahmen";"0031 615"
"Altenpflegeheime, Aufwendungen für Verpflegung";"1330 200"
"Altenpflege in der Wohnung";"1330 300"
"Altenwohnheime, nicht aufteilbare Leistungen für langfristige  Aufenthalte ()";"1330 200"
"Altersgeld aus eigener früherer Erwerbstätigkeit";"0031 110"
"Altersgeld für Witwen und Witwer";"0031 120"
"Altershilfe für Landwirte, freiwillige Beiträge";"1622 800"
"Altershilfe für Landwirte, Pflichtbeiträge";"1621 800"
"Alterskassen, einmalige und unregelmäßige Einnahmen";"0033 500"
"Alterskassen, freiwillige Beiträge, Prämien";"1631 200"
"Altersteilzeitgeld";"0011 800"
